entity1	entity2	left	middle	right	article
Airbus	Safran	Korean Air Lines (003490.KS) has ordered Pratt & Whitney engines to power up to 50 	" (AIR.PA) A321neo jets for delivery from 2021, the enginemaker said on Tuesday.
Pratt, owned by United Technologies Corp (UTX.N), said it was also in talks with Korean Air's engineering division about joining the enginemaker's maintenance, repair and overhaul network for the engines.
Pratt competes against CFM International, a joint venture of GE (GE.N) and "	 (SAF.PA), for the supply of engines to the A320neo family of planes.	620fa737da65adfed100f9d1
Korean Air Lines	Airbus		 (003490.KS) has ordered Pratt & Whitney engines to power up to 50 	 (AIR.PA) A321neo jets for delivery from 2021, the enginemaker said on Tuesday.	620fa737da65adfed100f9d1
Qantas	Airbus	SINGAPORE, Feb 13 (Reuters) - Australia's 	" told pilots on Thursday that if it could not reach a pay deal soon covering the world's longest commercial flights from Sydney to London, it would form a lower-cost employment entity, according to an internal memo.
The airline in December selected the "	 A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.	620fa737da65adfed100f9d2
Airbus	Qantas	The airline in December selected the 	" A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.
In an internal memo seen by Reuters, "	 head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.	620fa737da65adfed100f9d2
Qantas	Airbus	"
In an internal memo seen by Reuters, "	" head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.
“"	 extended the delivery slots one last time once they knew they were the preferred supplier, but they are not willing to continue their exposure beyond that point,” he said.	620fa737da65adfed100f9d2
Qantas	Airbus	SINGAPORE, Feb 13 (Reuters) - Australia's 	" told pilots on Thursday that if it could not reach a pay deal soon covering the world's longest commercial flights from Sydney to London, it would form a lower-cost employment entity, according to an internal memo.
The airline in December selected the "	 A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.	620fa737da65adfed100f9d2
Airbus	Qantas	The airline in December selected the 	" A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.
In an internal memo seen by Reuters, "	 head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.	620fa737da65adfed100f9d2
Qantas	Airbus	"
In an internal memo seen by Reuters, "	" head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.
“"	 extended the delivery slots one last time once they knew they were the preferred supplier, but they are not willing to continue their exposure beyond that point,” he said.	620fa737da65adfed100f9d2
Qantas	Airbus	"REUTERS/Phil Noble/File Photo
SINGAPORE (Reuters) - Australia's "	" (QAN.AX) told pilots on Thursday that if it could not reach a pay deal soon covering the world's longest commercial flights from Sydney to London, it would form a lower-cost employment entity, according to an internal memo.
The airline in December selected the "	 (AIR.PA) A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.	620fa737da65adfed100f9d3
Airbus	Qantas	The airline in December selected the 	" (AIR.PA) A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.
In an internal memo seen by Reuters, "	 head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.	620fa737da65adfed100f9d3
Qantas	Airbus	"
In an internal memo seen by Reuters, "	" head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.
“"	 extended the delivery slots one last time once they knew they were the preferred supplier, but they are not willing to continue their exposure beyond that point,” he said.	620fa737da65adfed100f9d3
Qantas	Airbus	"REUTERS/Phil Noble/File Photo
SINGAPORE (Reuters) - Australia's "	" (QAN.AX) told pilots on Thursday that if it could not reach a pay deal soon covering the world's longest commercial flights from Sydney to London, it would form a lower-cost employment entity, according to an internal memo.
The airline in December selected the "	 (AIR.PA) A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.	620fa737da65adfed100f9d3
Airbus	Qantas	The airline in December selected the 	" (AIR.PA) A350-1000 as the preferred plane to launch the flights in the first half of 2023, but said an order for up to 12 jets was contingent on reaching a deal with pilots by March.
In an internal memo seen by Reuters, "	 head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.	620fa737da65adfed100f9d3
Qantas	Airbus	"
In an internal memo seen by Reuters, "	" head Tino La Spina said the end of March deadline for a pilot vote on the deal was firm.
“"	 extended the delivery slots one last time once they knew they were the preferred supplier, but they are not willing to continue their exposure beyond that point,” he said.	620fa737da65adfed100f9d3
Bombardier	Airbus	Feb 17 (Reuters) - Alstom SA on Monday agreed to buy 	's train business for up to 6.2 billion euros ($6.7 billion), days after 	 agreed to buy out Bombardier's remaining stake in the A220 passenger jet program, helping the company improve its financial position.	620fa737da65adfed100f9d5
Airbus	Bombardier	Feb 17 (Reuters) - Alstom SA on Monday agreed to buy Bombardier's train business for up to 6.2 billion euros ($6.7 billion), days after 	 agreed to buy out 	's remaining stake in the A220 passenger jet program, helping the company improve its financial position.	620fa737da65adfed100f9d5
Bombardier	Airbus	Canadian government announces C$372 million aid package for 	 in the form of repayable loans. Later that year, 	 takes a majority stake in Bombardier's C-Series jet program for $1.	620fa737da65adfed100f9d5
Airbus	Bombardier	Later that year, 	 takes a majority stake in 	's C-Series jet program for $1.	620fa737da65adfed100f9d5
Bombardier	Airbus	"
2019: "	" announces plans to sell off factories in Northern Ireland and Morocco as it consolidates its commercial plane-making business and later agrees to sell its regional jet program to Mitsubishi Heavy Industries Ltd.
Feb 2020: "	 teams up with the Quebec government to buy Bombardier's 33.5% stake in the A220 passenger jet program - formerly known as the C Series - completing the Canadian firm's exit from civil aviation.	620fa737da65adfed100f9d5
Airbus	Bombardier		 teams up with the Quebec government to buy 	's 33.5% stake in the A220 passenger jet program - formerly known as the C Series - completing the Canadian firm's exit from civil aviation.	620fa737da65adfed100f9d5
Bombardier	Airbus	(Reuters) - Alstom SA on Monday agreed to buy 	's train business for up to 6.2 billion euros ($6.7 billion), days after 	 agreed to buy out Bombardier's remaining stake in the A220 passenger jet program, helping the company improve its financial position.	620fa737da65adfed100f9d6
Airbus	Bombardier	(Reuters) - Alstom SA on Monday agreed to buy Bombardier's train business for up to 6.2 billion euros ($6.7 billion), days after 	 agreed to buy out 	's remaining stake in the A220 passenger jet program, helping the company improve its financial position.	620fa737da65adfed100f9d6
Bombardier	Airbus	Canadian government announces C$372 million aid package for 	 in the form of repayable loans. Later that year, 	 takes a majority stake in Bombardier's C-Series jet program for $1.	620fa737da65adfed100f9d6
Airbus	Bombardier	Later that year, 	 takes a majority stake in 	's C-Series jet program for $1.	620fa737da65adfed100f9d6
Bombardier	Airbus	"
2019: "	" announces plans to sell off factories in Northern Ireland and Morocco as it consolidates its commercial plane-making business and later agrees to sell its regional jet program to Mitsubishi Heavy Industries Ltd.
Feb 2020: "	 teams up with the Quebec government to buy Bombardier's 33.5% stake in the A220 passenger jet program - formerly known as the C Series - completing the Canadian firm's exit from civil aviation.	620fa737da65adfed100f9d6
Airbus	Bombardier		 teams up with the Quebec government to buy 	's 33.5% stake in the A220 passenger jet program - formerly known as the C Series - completing the Canadian firm's exit from civil aviation.	620fa737da65adfed100f9d6
AT&T	Apple	"
The indexes opened up about 0.4%, but the gains quickly evaporated as shares in "	" (T.N), Advanced Micro Devices (AMD.O) and Anthem Inc (ANTM.N) fell following their results.
"	 (AAPL.O), however, gained 2.3% after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.	620fa738da65adfed100f9de
Advanced Micro Devices	Apple	"
The indexes opened up about 0.4%, but the gains quickly evaporated as shares in AT&T (T.N), "	" (AMD.O) and Anthem Inc (ANTM.N) fell following their results.
"	 (AAPL.O), however, gained 2.3% after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.	620fa738da65adfed100f9de
Apple	Boeing	(Reuters) - U.S. stock indexes retreated from early highs on Wednesday as a spate of disappointing earnings reports offset strong gains in 	 and 	, while investors assessed the economic impact of the fast-spreading coronavirus outbreak.	620fa738da65adfed100f9de
Apple	Boeing	"
"	" (AAPL.O), however, gained 2.3% after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.
"	 (BA.N) jumped 2.4% after the planemaker's forecast of nearly $19 billion in costs related to the grounding of its 737 MAX jets was smaller than analysts' expectations.	620fa738da65adfed100f9de
American	United	"
"	 (AAL.O) and 	) said they were canceling some flights to China, while Royal Caribbean Cruises Ltd (RCL.N) said its 2020 earnings would be hurt after it canceled three trips of its China-based cruise liner.	620fa738da65adfed100f9de
AT&T	Apple	"
The indexes opened up about 0.4%, but the gains quickly evaporated as shares in "	" (T.N), Advanced Micro Devices (AMD.O) and Anthem Inc (ANTM.N) fell following their results.
"	 (AAPL.O), however, gained 2.3% after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.	620fa738da65adfed100f9de
AT&T	Apple	"
Indeed, in his economic report to Congress earlier this week, U.S. Federal Reserve Chair Jerome Powell said the central bank was assessing the risk of the coronavirus and other potential threats, indicating any change to its accommodative policy was "	"kely this year.
The Dow Jones Industrial Average .DJI fell 54.33 points, or 0.18%, to 29,497."	he S&P 500 .SPX	620fa738da65adfed100f9e1
Wistron	Apple	NEW DELHI (Reuters) - Taiwan's 	 plans to assemble printed circuit boards (PCBs) for iPhones at its new plant in southern India, two sources said, highlighting 	's push to expand manufacturing in the world's second-biggest smartphone market.	620fa739da65adfed100f9ed
Apple	Wistron	NEW DELHI (Reuters) - Taiwan's Wistron plans to assemble printed circuit boards (PCBs) for iPhones at its new plant in southern India, two sources said, highlighting 	"'s push to expand manufacturing in the world's second-biggest smartphone market.
The local assembly of PCBs by "	's India unit will be a first for the contract manufacturer, which began making Apple's low-priced SE model in the southern tech hub of Bengaluru in 2017.	620fa739da65adfed100f9ed
Wistron	Apple	The local assembly of PCBs by 	's India unit will be a first for the contract manufacturer, which began making 	's low-priced SE model in the southern tech hub of Bengaluru in 2017.	620fa739da65adfed100f9ed
Wistron	Apple	"
"	"'s bigger rival Foxconn, which began making iPhone XR models in India last year, already assembles PCBs for those devices locally.
The deepening of PCB assembly in India will help Cupertino, Calif.-based "	 save on import taxes on smartphone components, levied by Prime Minister Narendra Modi's government to boost local manufacturing and create new jobs.	620fa739da65adfed100f9ed
Apple	Wistron	"
"	 declined to comment. 	 did not respond to a request for comment.	620fa739da65adfed100f9ed
Wistron	Apple		" did not respond to a request for comment.
"	, which still makes most of its iPhones in China, has gradually moved to expand production in other countries as Washington and Beijing wage a disruptive battle over trade and technology.	620fa739da65adfed100f9ed
Wistron	Apple	The coronavirus outbreak in China could cause a delay in 	 and 	's plans for India, one of the sources said.	620fa739da65adfed100f9ed
Apple	STMicroelectronics	"
Shares of "	 (AAPL.O) suppliers including Infineon Technologies AG (IFXGn.DE), AMS AG (AMS.S) and 	 (STM.MI) gained after the iPhone maker beat sales and profit estimates for the holiday shopping quarter.	620fa739da65adfed100f9f0
Qualcomm	Apple	A sign to the campus offices of chip maker Broadcom Ltd, who announced on Monday an unsolicited bid to buy peer 	" for $103 billion, is shown in Irvine, California, U.S., November 6, 2017. REUTERS/Mike Blake
(Reuters) - Broadcom Inc on Thursday released a new chip aimed at eliminating choppy phone calls and music on Bluetooth headphones.
The San Jose, California-based company is a major supplier to high-end smart phone makers such as "	, with whom it has signed deals to supply as much as $15 billion worth of chips.	620fa739da65adfed100f9f2
Apple	Foxconn	"
China has blocked a plan by "	 supplier 	 to resume production in China from Monday, the Nikkei business daily reported on Saturday, amid concerns about the spread of the new coronavirus.	620fa739da65adfed100f9f5
Apple	Foxconn	The local government in the southern manufacturing hub of Shenzhen, meanwhile, denied a report in the Nikkei business daily that it had blocked a plan by 	 supplier 	 to resume production in China from Monday.	620fa739da65adfed100f9f6
Apple	Foxconn	"
China has blocked a plan by "	 supplier 	 to resume production in China from Monday, the Nikkei business daily reported.	620fa739da65adfed100f9f7
Apple	Foxconn	"cnsphoto via REUTERS
Beijing has blocked a plan by "	 supplier 	 to resume production in China from Monday, the Nikkei business daily reported.	620fa739da65adfed100f9f8
Apple	Microsoft	"
High-flying stocks "	, Amazon (AMZN.O), 	 (MSFT.O) and Facebook Inc (FB.O) were all marginally lower after taking the markets to record levels.	620fa73ada65adfed100f9fd
Apple	GameStop	"
High-flying stocks "	", Amazon (AMZN.O), Microsoft (MSFT.O) and Facebook Inc (FB.O) were all marginally lower after taking the markets to record levels.
Videogame retailer "	 (GME.N) dropped 8.1% after cutting its fiscal 2019 outlook for profit and same-store sales, as customers delayed console purchases ahead of new launches.	620fa73ada65adfed100f9fd
Amazon	GameStop	"
High-flying stocks Apple APPL.O, "	" (AMZN.O), Microsoft (MSFT.O) and Facebook Inc (FB.O) were all marginally lower after taking the markets to record levels.
Videogame retailer "	 (GME.N) dropped 8.1% after cutting its fiscal 2019 outlook for profit and same-store sales, as customers delayed console purchases ahead of new launches.	620fa73ada65adfed100f9fd
Apple	Tesla	"
"	" (AAPL.O) slipped 0.9% in premarket trading as its supplier Foxconn (2317.TW) struggled to fully resume its factories in China.
Analysts expect China's smartphone sales may plunge by as much as 50% in the first quarter, as many retail shops remain shuttered for an extended period and companies struggle to restart production.
On the other hand, electric carmaker "	 (TSLA.O) jumped 9.2% as its Shanghai factory returned to service with assistance to help it cope with the spreading epidemic after an extended Lunar New Year holiday.	620fa73ada65adfed100f9fe
Apple	Advanced Micro Devices	Gains in 	 and Boeing lifted shares on Wall Street, but a spate of disappointing results from AT&T and 	, among others, weighed on equities.	620fa73ada65adfed100f9ff
Apple	Boeing	Gains in 	 and 	 lifted shares on Wall Street, but a spate of disappointing results from AT&T and Advanced Micro Devices, among others, weighed on equities.	620fa73ada65adfed100f9ff
Apple	Advanced Micro Devices	Gains in 	 and Boeing lifted shares on Wall Street, but a spate of disappointing results from AT&T and 	, among others, weighed on equities.	620fa73ada65adfed100fa00
Apple	Boeing	Gains in 	 and 	 lifted shares on Wall Street, but a spate of disappointing results from AT&T and Advanced Micro Devices, among others, weighed on equities.	620fa73ada65adfed100fa00
Apple	Advanced Micro Devices	"
Strong results from Santander helped bank stocks in Europe as gains in "	 and Boeing lifted shares on Wall Street, but a spate of disappointing results from AT&T and 	 , among others, weighed on equities.	620fa73ada65adfed100fa01
Advanced Micro Devices	Apple	"
"	 (AMD.O) rose 1.0%, while Broadcom Inc (AVGO.O) gained 2.9% after entering an agreement with 	 (AAPL.O) for the supply of wireless components used in its products.	620fa73ada65adfed100fa06
Boeing	Apple	"on.wsj.com/37olApu
- U.S. airlines that operate the "	" 737 MAX are facing the prospect that the aircraft's prolonged grounding could stymie their growth and benefit competitors well into this year. on.wsj.com/2RGUtzg
- Chipmaker Broadcom Inc said it reached multi-year supply agreements with "	 to provide wireless components for Apple products into 2023.	620fa73ada65adfed100fa08
Apple	Huawei	SEOUL/SAN FRANCISCO (Reuters) - Samsung Electronics (005930.KS) on Tuesday unveiled a foldable smartphone shaped like a large makeup compact, its second try at a novel technology that the South Korean cell phone maker hopes will set it apart from rivals 	 (AAPL.O) and 	.	620fa73ada65adfed100fa0b
Huawei	Apple	SEOUL/SAN FRANCISCO (Reuters) - Samsung Electronics (005930.KS) on Tuesday unveiled a foldable smartphone shaped like a large makeup compact, its second try at a novel technology that the South Korean cell phone maker hopes will set it apart from rivals Apple (AAPL.O) and 	".
Samsung also updated its Galaxy S line of mobile devices with 5G technology and more powerful cameras, as well as expanded entertainment options that take advantage of the coming 5G network technology in the United States. Rival "	 has not yet debuted a 5G phone of its own.	620fa73ada65adfed100fa0b
Apple	Huawei	"
Samsung lost its No.1 smartphone position to "	" in the December quarter, according to IDC, as cheaper iPhone 11 pricing helped the U.S. firm enjoy its best growth performance since 2015.
Rebecca Hirst, head of UK product marketing of Samsung Electronics, unveils the Z Flip foldable smartphone during Samsung Galaxy Unpacked 2020 in San Francisco, California, U.S. February 11, 2020. REUTERS/Stephen Lam
Globally it also faces stiff competition from "	", which was a close third in market share in the fourth quarter, although the Chinese company is caught in a U.S.-China battle over security and technology, especially in 5G.
“There has been no better time for Samsung to increase its market share given Huawei's current woes and Apple yet to release a 5G iPhone,” said Paolo Pescatore, a London-based analyst at PP Foresight."	620fa73ada65adfed100fa0b
Huawei	Apple	"REUTERS/Stephen Lam
Globally it also faces stiff competition from Huawei, which was a close third in market share in the fourth quarter, although the Chinese company is caught in a U.S.-China battle over security and technology, especially in 5G.
“There has been no better time for Samsung to increase its market share given "	's current woes and 	 yet to release a 5G iPhone,” said Paolo Pescatore, a London-based analyst at PP Foresight.	620fa73ada65adfed100fa0b
Apple	Huawei	SEOUL/SAN FRANCISCO (Reuters) - Samsung Electronics (005930.KS) on Tuesday unveiled a square-shaped foldable smartphone, its second try at a novel technology that the Korean cell phone maker hopes will set it apart from rivals 	 (AAPL.O) and 	.	620fa73ada65adfed100fa0c
Apple	Huawei	"
Samsung lost its No.1 smartphone position to "	" in the December quarter, according to IDC as cheaper iPhone 11 pricing helped the U.S. firm enjoy its best growth performance since 2015.
Globally it also faces stiff competition from "	", which was a close third in market share in the fourth quarter, although the Chinese company is caught in a U.S.-China battle over security and technology, especially in 5G.
“There has been no better time for Samsung to increase its market share given Huawei's current woes and Apple yet to release a 5G iPhone,” said Paolo Pescatore, a London-based analyst at PP Foresight."	620fa73ada65adfed100fa0c
Huawei	Apple	"
Globally it also faces stiff competition from Huawei, which was a close third in market share in the fourth quarter, although the Chinese company is caught in a U.S.-China battle over security and technology, especially in 5G.
“There has been no better time for Samsung to increase its market share given "	's current woes and 	 yet to release a 5G iPhone,” said Paolo Pescatore, a London-based analyst at PP Foresight.	620fa73ada65adfed100fa0c
Apple	Huawei	The Japanese firm controls about a half of the world's image sensor market, supplying most global smartphone makers including 	 and 	.	620fa73ada65adfed100fa0e
Apple	Huawei	The Japanese firm controls about a half of the world's image sensor market, supplying most global smartphone makers including 	 and 	.	620fa73bda65adfed100fa0f
Apple	Qorvo	"
"	 suppliers 	 (QRVO.O) and Skyworks Solutions (SWKS.O) also gained more than 2% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73bda65adfed100fa10
Apple	Skyworks Solutions	"
"	 suppliers Qorvo (QRVO.O) and 	 (SWKS.O) also gained more than 2% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73bda65adfed100fa10
Apple	Advanced Micro Devices	"
Strong results from Santander helped bank stocks in Europe as gains in "	 and Boeing lifted shares on Wall Street, but a spate of disappointing results from AT&T and 	 , among others, weighed on equities.	620fa73bda65adfed100fa12
Apple	STMicroelectronics	"
Shares of "	 (AAPL.O) suppliers including Infineon Technologies AG (IFXGn.DE), AMS AG (AMS.S) and 	 (STM.MI), gained after the iPhone maker beat sales and profit estimates for the holiday shopping quarter.	620fa73bda65adfed100fa14
Apple	Qualcomm	"
The measure would be a blow to the world's no. 2 smartphone maker as well as to TSMC, a major producer of chips for Huawei's HiSilicon unit and mobile phone rivals "	 (AAPL.O) and 	 (QCOM.O).	620fa73bda65adfed100fa1a
Apple	STMicroelectronics	"
Shares of "	 suppliers including Infineon Technologies AG, AMS AG and 	, gained after the iPhone maker beat sales and profit estimates for the holiday shopping quarter.	620fa73bda65adfed100fa1d
Apple	Qorvo	"
"	 suppliers 	 and Skyworks Solutions also gained more than 2% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73cda65adfed100fa21
Apple	Skyworks Solutions	"
"	 suppliers Qorvo and 	 also gained more than 2% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73cda65adfed100fa21
Apple	Tesla	"
"	" slipped 0.9% in premarket trading as its supplier Foxconn struggled to fully resume its factories in China.
Analysts expect China's smartphone sales may plunge by as much as 50% in the first quarter, as many retail shops remain shuttered for an extended period and companies struggle to restart production.
On the other hand, electric carmaker "	 jumped 9.2% as its Shanghai factory returned to service with assistance to help it cope with the spreading epidemic after an extended Lunar New Year holiday.	620fa73cda65adfed100fa24
Advanced Micro Devices	Apple	"
"	 rose 1.0%, while Broadcom Inc gained 2.9% after entering an agreement with 	 for the supply of wireless components used in its products.	620fa73cda65adfed100fa25
Intel	Advanced Micro Devices	The tech-heavy Nasdaq was set to hit a new record high on Friday after a strong forecast from 	" and encouraging business activity data out of Europe lifted the mood, while investors tracked latest developments related to the coronavirus outbreak.
Chipmaker Intel jumped 4.8% in premarket trading, and was on course to open at a 19-year high, after it forecast better-than-expected 2020 earnings, joining many of its peers to signal a recovery in chip demand.
"	 rose 1.0%, while Broadcom Inc gained 2.9% after entering an agreement with Apple for the supply of wireless components used in its products.	620fa73cda65adfed100fa25
Apple	Microsoft	"
Technology big guns that took Wall Street to record highs recently - Amazon.com Inc, "	, 	, Alpahbet Inc and Facebook Inc - shed between 0.3% and 1.5%.	620fa73cda65adfed100fa26
Apple	Boeing	"
* "	, 	", GE set to boost Wall St at open
* Starbucks slips as coronavirus prompts store closures in China
* Fed expected to hold rates, statement due at 2:00 pm ET
* Futures up: Dow 0.43%, S&P 0.23%, Nasdaq 0.36% (Changes comment, details)
"	620fa73cda65adfed100fa28
Boeing	Apple	"
* Apple, "	", GE set to boost Wall St at open
* Starbucks slips as coronavirus prompts store closures in China
* Fed expected to hold rates, statement due at 2:00 pm ET
* Futures up: Dow 0.43%, S&P 0.23%, Nasdaq 0.36% (Changes comment, details)
By Sruthi Shankar and Ambar Warrick
Jan 29 (Reuters) - Wall Street was set to extend its recovery on Wednesday as a surge in shares of "	 and Boeing after their results overshadowed concerns over the economic impact of a fast-spreading coronavirus.	620fa73cda65adfed100fa28
Apple	Boeing	"By Sruthi Shankar and Ambar Warrick
Jan 29 (Reuters) - Wall Street was set to extend its recovery on Wednesday as a surge in shares of "	 and 	 after their results overshadowed concerns over the economic impact of a fast-spreading coronavirus.	620fa73cda65adfed100fa28
Boeing	Apple	"By Sruthi Shankar and Ambar Warrick
Jan 29 (Reuters) - Wall Street was set to extend its recovery on Wednesday as a surge in shares of Apple and "	" after their results overshadowed concerns over the economic impact of a fast-spreading coronavirus.
"	 gained 1.9% in premarket trading after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.	620fa73cda65adfed100fa28
Apple	Boeing	"
"	" gained 1.9% in premarket trading after reporting earnings for the holiday shopping quarter above analysts' expectations, even as it braced for more supply disruptions in virus-hit China.
"	 jumped 2.8% after the planemaker's forecast of nearly $19 billion in costs related to the grounding of its 737 MAX jets was smaller than analysts' expectations.	620fa73cda65adfed100fa28
Apple	Qorvo	"
* U.S. job growth slows more than expected in December
* "	, 	", Skyworks up on positive broker comments
* Easing Iran tensions, trade hope spur risk-on mode
* Futures up: Dow 0.09%, S&P 0.18%,"	620fa73cda65adfed100fa29
Apple	Qorvo	"
"	 suppliers 	 and Skyworks Solutions also gained more than 1.8% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73cda65adfed100fa29
Apple	Skyworks Solutions	"
"	 suppliers Qorvo and 	 also gained more than 1.8% each after Mizuho upgraded both the stocks to “buy” on an improving 5G handset outlook.	620fa73cda65adfed100fa29
Apple	Tesla	"
* "	" slips as China business shutdown threatens demand
* "	" jumps after Shanghai factory resumes production
* Futures: Dow dips 0.08%, S&P flat, Nasdaq up 0.05% (Adds comment, details; Updates prices)"	620fa73cda65adfed100fa2f
Apple	Tesla	"
"	" slipped 1.1% in premarket trading as its supplier Foxconn struggled to fully resume its factories in China.
Analysts expect China's smartphone sales may plunge by as much as 50% in the first quarter, as many retail shops remain shuttered for an extended period and companies struggle to restart production.
On the other hand, electric carmaker "	 jumped 7.2% as its Shanghai factory returned to service with assistance to help it cope with the spreading epidemic.	620fa73cda65adfed100fa2f
Apple	Tesla	"* Malaysia's Petronas buys cargo following fire in gas pipeline
* China-U.S. sign P"	"1 trade deal, which includes LNG
* Several “sell” ten"	"offered in market this week
By Jessica Jaganathan
SINGAPORE, Jan 17 (Reuters) - Asian spot prices for liquefied natural gas (LNG) for the current month fell below $5 per million British thermal units (mmBtu), to their lowest in four months, as buyers remained on the sidelines ahead of the Lunar New Year holidays."	620fa740da65adfed100fa67
Apple	Tesla	"
Exports from Malaysia's Bintulu "	" operated by Petronas may have been affected following a fire on the Sabah-Sarawak Gas gas pipeline in East Malaysia, industry sources said.
Petronas has bought a cargo in the spot market, they said, though details were not immediately available. Exports from Malaysia are also set to dip slightly this week compared with last week, shiptracking"	 from Refinitiv Eikon showed.	620fa740da65adfed100fa67
Exxon Mobil	Abu Dhabi National	"
"	 Papua New Guinea export plant offered a cargo for loading in mid-February, while 	 (ADNOC) offered a cargo for loading at its Das Island plant in February, industry sources said.	620fa740da65adfed100fa67
Exxon Mobil	Abu Dhabi National	"(Reuters) - Hess Corp (HES.N) reported a bigger-than-expected quarterly loss on Wednesday, as lower prices for its natural gas and natural gas liquids more than offset higher output from its Bakken shale assets in North Dakota.
FILE PHOTO: Pumpjacks taken out of production temporarily stand idle at a Hess site while new wells are fracked near Williston, North Dakota November 12, 2014. REUTERS/Andrew Cullen/File Photo
Shares fell 7% to $57.73 in afternoon trading.
Natural gas prices have hovered near two-decade lows as a long and steady increase in U.S. production due to the shale oil boom has led to ample supplies.
Hess said average selling prices for natural gas fell 27.8% and natural gas liquids slumped 34.5% in the fourth quarter.
The extended weak prices have forced Chevron (CVX.N), Range Resources (RRC.N) and EQT Corp (EQT.N) to warn of impairments on their gas-producing assets.
Hess said it expects to spend $3 billion in 2020, compared with $2.74 billion last year, as it bets big on Bakken and offshore Guyana, which has emerged as one of the most important oil and gas discoveries of the last decade.
The company is part of a consortium led by oil major Exxon Mobil (XOM.N) and has forecast total recoverable oil and gas resources of more than 8 billion barrels in offshore Guyana.
The higher budget comes as the U.S. shale industry has reined in spending under pressure to produce higher shareholder returns.
“Investors are worried that the losses that they incur in 2020 might be as big, if not bigger, than 2019,” said Bill Selesky, a senior analyst at Argus Research, adding they are also concerned about Hess' higher spending in 2020.
Hess expects net production in Guyana to average about 25,000 barrels of oil per day for 2020, while it estimates net production in Bakken to average about 180,000 barrels of oil equivalent per day (boe/d).
The two areas will become significant cash generators over the next several years, Chief Executive Officer John Hess said on a post-earnings call with analysts.
Hess said production from Bakken rose 38% to 174,000 boe/d pushing up total production, excluding Libya, by 18.4% to 316,000 boe/d in the quarter.
Analysts had expected net production of 309,814 boe/d.
Excluding items, Hess reported a loss of 60 cents per share, bigger than estimates of 52 cents, according to IBES data from Refinitiv."			620fa740da65adfed100fa6d
Chevron	Exxon Mobil	The extended weak prices have forced 	" (CVX.N), Range Resources (RRC.N) and EQT Corp (EQT.N) to warn of impairments on their gas-producing assets.
Hess said it expects to spend $3 billion in 2020, compared with $2.74 billion last year, as it bets big on Bakken and offshore Guyana, which has emerged as one of the most important oil and gas discoveries of the last decade.
The company is part of a consortium led by oil major "	 (XOM.N) and has forecast total recoverable oil and gas resources of more than 8 billion barrels in offshore Guyana.	620fa740da65adfed100fa6d
Chevron	Exxon Mobil	The extended weak prices have forced 	" (CVX.N), Range Resources (RRC.N) and EQT Corp (EQT.N) to warn of impairments on their gas-producing assets.
Hess said it expects to spend $3 billion in 2020, compared with $2.74 billion last year, as it bets big on Bakken and offshore Guyana, which has emerged as one of the most important oil and gas discoveries of the last decade.
The company is part of a consortium led by oil major "	 (XOM.N) and has forecast total recoverable oil and gas resources of more than 8 billion barrels in offshore Guyana.	620fa740da65adfed100fa6d
